review_id,AED_ID_1,AED_ID_2,building_1,building_2,road_1,road_2,postal_code_1,postal_code_2,location_1,location_2,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,rule,confidence,reason,human_label,reviewer_note
1,098137-001,098137-002,SEA Aquarium,Maritime Experiential Museum,Sentosa Gateway,Sentosa Gateway,98137,98137,"Level B1 Near SEA Aquarium Entrance Or Exit, Opposite Passenger Lift",Level 1 Inside Typhoon Theatre,1.25880396,103.8203583,1.25880396,103.8203583,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
2,117578-002,117578-001,Blk E1,Blk E1,Engineering Drive 2,Engineering Drive 2,117578,117578,"Blk EA, Level 1, Lift Lobby","Level 4 Blk E1, Lift Lobby",1.29886401,103.7710495,1.29886401,103.7710495,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
3,128378-001,128378-003,,,Pandan Loop,Pandan Loop,128378,128378,Level 1 Workshop Office,Level 1 Commercial Vehicle Customer Service Centre,1.30909598,103.7535172,1.30909598,103.7535172,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
4,159930-001,159930-002,,,Alexandra Road,Alexandra Road,159930,159930,Level 1 Workshop,Level 3 Near Carpark,1.291538,103.8131485,1.291538,103.8131485,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
5,159968-002,159968-003,Mercedes-Benz Center,Mercedes-Benz Center,Alexandra Road,Alexandra Road,159968,159968,Level 1 Beside Lift Lobby,Level 3 Office,1.29029596,103.8080826,1.29029596,103.8080826,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
6,169629-002,169629-001,"Four Points by Sheraton Singapore, Riverview","Four Points by Sheraton Singapore, Riverview",Havelock Road,Havelock Road,169629,169629,Level 5 Swimming Pool (Near Gym),Level 1 Reception Counter,1.28935301,103.8365936,1.28935301,103.8365936,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
7,169632-002,169632-001,Copthorne King's Hotel Singapore,Copthorne King's Hotel Singapore,Havelock Road,Havelock Road,169632,169632,Level 3 Swimming Pool,Level 1 Fire Command Centre,1.28833699,103.8366699,1.28833699,103.8366699,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
8,169663-002,169663-003,Grand Copthorne Waterfront Hotel Singapore,Grand Copthorne Waterfront Hotel Singapore,Havelock Road,Havelock Road,169663,169663,Level 6 Swimming Pool Area,Level 6 Inside Gym,1.290193,103.83518,1.290193,103.83518,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
9,178882-002,178882-001,"Swissotel The Stamford, Singapore","Swissotel The Stamford, Singapore",Stamford Road,Stamford Road,178882,178882,Level 70 Service Area Lift Lobby,Level 1 Front Office,1.29332495,103.8534241,1.29332495,103.8534241,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
10,179038-001,179038-002,Fort Canning MRT Station,Fort Canning MRT Station,River Valley Road,River Valley Road,179038,179038,Platform Level (DTL),Near Passenger Service Centre (DTL),1.29250002,103.8442993,1.29250002,103.8442993,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
11,179809-002,179809-001,Grandpark City Hall Hotel,Grandpark City Hall Hotel,Coleman Street,Coleman Street,179809,179809,Level 4 Near Swimming Pool,Level 1 FCC Security Office,1.29266906,103.8498917,1.29266906,103.8498917,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
12,189658-001,189658-002,Bencoolen MRT Station,Bencoolen MRT Station,Bencoolen Street,Bencoolen Street,189658,189658,Platform Level (DTL),Near Passenger Service Centre (DTL),1.29890001,103.8504028,1.29890001,103.8504028,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
13,208826-001,208826-002,Jalan Besar MRT Station,Jalan Besar MRT Station,Jalan Besar,Jalan Besar,208826,208826,Platform Level (DTL),Near Passenger Service Centre (DTL),1.30540001,103.8554001,1.30540001,103.8554001,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
14,229616-002,229616-001,Holiday Inn Singapore Orchard City Centre,Holiday Inn Singapore Orchard City Centre,Cavenagh Road,Cavenagh Road,229616,229616,Level 4 Inside Gym,Level 1 Inside Front Office,1.30229497,103.8410645,1.30229497,103.8410645,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
15,048619-005,048619-008,Republic Plaza,Republic Plaza,Raffles Place,Raffles Place,48619,48619,Level 32 K&L Gates Straits Law LLC Pantry,Level 32 K&L Gates Straits Law LLC Pantry,1.28318703,103.8508606,1.28318703,103.8508606,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
16,058282-001,058282-002,Riverside Point,Riverside Point,Merchant Road,Merchant Road,58282,58282,"Level 1 Jumbo Seafood @ Riverside Point, Inside Dining Area","Level 2 Jumbo Seafood @ Riverside Point, Inside Dining Area",1.288939,103.844635,1.288939,103.844635,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
17,058289-003,058289-004,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 14 Fire Lift Lobby,Level 10 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
18,058289-003,058289-005,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 14 Fire Lift Lobby,Level 6 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
19,058289-003,058289-006,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 14 Fire Lift Lobby,Level 2 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
20,058289-003,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 14 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
21,058289-003,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 14 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
22,058289-004,058289-005,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 6 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
23,058289-004,058289-006,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 2 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
24,058289-004,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
25,058289-004,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
26,058289-005,058289-006,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 2 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
27,058289-005,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
28,058289-005,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
29,058289-006,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 2 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
30,058289-006,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 2 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
31,058289-002,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 5 Swimming Pool,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
32,088539-001,088539-002,Amara Singapore,Amara Singapore,Tanjong Pagar Road,Tanjong Pagar Road,88539,88539,Level B1 Inside Security Office,Level 6 Near To The Gym,1.27543294,103.8437271,1.27543294,103.8437271,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
33,098134-002,098134-001,ESPA (RWS),ESPA (RWS),Sentosa Gateway,Sentosa Gateway,98134,98134,Level 1 Female Sleep Zone Corridor,Level 1 Reception Counter,1.25865102,103.8162766,1.25865102,103.8162766,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
34,310480-002,310480-003,HDB Hub,HDB Hub,Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,310480,310480,Level 2 Pillar Near Seating Area,Level 1 Fire Command Centre,1.33238602,103.8485489,1.33238602,103.8485489,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
35,319387-001,319387-007,SAFRA Clubhouse (Toa Payoh),SAFRA Clubhouse (Toa Payoh),Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,319387,319387,Level 1 Security Helpdesk,Level 2 Dance Floor,1.330401,103.854704,1.330401,103.854704,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
36,319387-003,319387-005,SAFRA Clubhouse (Toa Payoh),SAFRA Clubhouse (Toa Payoh),Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,319387,319387,Level 1 Gym,Level 2 Opposite Squash Court,1.329865,103.854291,1.329865,103.854291,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
